     index            Field [G]         Intensity []
       546     3323.27468230694            -39123302
       547      3323.3724340176            -37318972
       548     3323.47018572825            -35853569
       549     3323.56793743891            -34619324
       550     3323.66568914956            -32821310
       551     3323.76344086022            -31682662
       552     3323.86119257087            -30479544
       553     3323.95894428152            -29527528
       554     3324.05669599218            -29112246
       555     3324.15444770283            -28325418
       556     3324.25219941349            -27736913
       557     3324.34995112414            -27093542
       558      3324.4477028348            -26861229
       559     3324.54545454545            -25961360
       560     3324.64320625611            -25727198
       561     3324.74095796676            -25116344
       562     3324.83870967742            -24240066
       563     3324.93646138807            -23758597
       564     3325.03421309873            -23345220
       565     3325.13196480938            -22706548
       566     3325.22971652004            -22239649
       567     3325.32746823069            -21784862
       568     3325.42521994135            -21473500
       569       3325.522971652            -20947105
       570     3325.62072336266            -20298315
       571     3325.71847507331            -19524822
       572     3325.81622678397            -18784281
       573     3325.91397849462            -18476515
       574     3326.01173020528            -18430753
       575     3326.10948191593            -17942766
       576     3326.20723362659            -17679148
       577     3326.30498533724            -17081074
       578      3326.4027370479            -17134312
       579     3326.50048875855            -16534699
       580     3326.59824046921            -16101293
       581     3326.69599217986            -16014902
       582     3326.79374389052            -15411057
       583     3326.89149560117            -15075616
       584     3326.98924731183            -14720869
       585     3327.08699902248            -14569021
       586     3327.18475073314            -14099776
       587     3327.28250244379            -13958576
       588     3327.38025415445            -13712027
       589      3327.4780058651            -13631740
       590     3327.57575757576            -13191020
       591     3327.67350928641            -13122340
       592     3327.77126099707            -12803455
       593     3327.86901270772            -12251791
       594     3327.96676441838            -12003158
       595     3328.06451612903            -11554003
       596     3328.16226783969            -11278615
       597     3328.26001955034            -11134422
       598       3328.357771261            -10882112
       599     3328.45552297165            -10551037
       600     3328.55327468231            -10668984
       601     3328.65102639296            -10491492
       602     3328.74877810362            -10138864
       603     3328.84652981427             -9568376
       604     3328.94428152493             -9186229
       605     3329.04203323558             -8714137
       606     3329.13978494624             -8699267
       607     3329.23753665689             -8713799
       608     3329.33528836755             -8371466
       609      3329.4330400782             -7869778
       610     3329.53079178886             -7804926
       611     3329.62854349951             -7445762
       612     3329.72629521017             -7205733
       613     3329.82404692082             -7026000
       614     3329.92179863148             -6780908
       615     3330.01955034213             -6466181
       616     3330.11730205279             -6378263
       617     3330.21505376344             -6273969
       618      3330.3128054741             -6275002
       619     3330.41055718475             -6331986
       620     3330.50830889541             -6223996
       621     3330.60606060606             -6049269
       622     3330.70381231672             -5622144
       623     3330.80156402737             -5092324
       624     3330.89931573803             -4915873
       625     3330.99706744868             -4654599
       626     3331.09481915934             -4514086
       627     3331.19257086999             -4389164
       628     3331.29032258065             -4236613
       629      3331.3880742913             -4114702
       630     3331.48582600196             -3995564
       631     3331.58357771261             -3649559
       632     3331.68132942326             -3315420
       633     3331.77908113392             -3050148
       634     3331.87683284457             -3055270
       635     3331.97458455523             -3107735
       636     3332.07233626588             -2876706
       637     3332.17008797654             -2886862
       638     3332.26783968719             -2806034
       639     3332.36559139785             -2525151
       640      3332.4633431085             -2678523
       641     3332.56109481916             -2476269
       642     3332.65884652981             -1916980
       643     3332.75659824047             -2031839
       644     3332.85434995112             -2199560
       645     3332.95210166178             -1678469
       646     3333.04985337243             -2160470
       647     3333.14760508309             -1741674
       648     3333.24535679374             -1647892
       649      3333.3431085044             -1516651
       650     3333.44086021505             -1604797
       651     3333.53861192571             -1401441
       652     3333.63636363636             -1521571
       653     3333.73411534702             -1372870
       654     3333.83186705767             -1269900
       655     3333.92961876833             -1628731
       656     3334.02737047898             -1622966
       657     3334.12512218964             -1637449
       658     3334.22287390029             -1732552
       659     3334.32062561095             -1362667
       660      3334.4183773216             -1698626
       661     3334.51612903226             -1537777
       662     3334.61388074291             -1400964
       663     3334.71163245357             -1636442
       664     3334.80938416422             -2081484
       665     3334.90713587488             -2323196
       666     3335.00488758553             -2377313
       667     3335.10263929619             -2474103
       668     3335.20039100684             -2736257
       669      3335.2981427175             -2841838
       670     3335.39589442815             -3054923
       671     3335.49364613881             -3153478
       672     3335.59139784946             -3829508
       673     3335.68914956012             -4061233
       674     3335.78690127077             -4433993
       675     3335.88465298143             -4829094
       676     3335.98240469208             -5526935
       677     3336.08015640274             -6122454
       678     3336.17790811339             -6910059
       679     3336.27565982405             -7866411
       680      3336.3734115347             -8537929
       681     3336.47116324536             -9423174
       682     3336.56891495601            -10801545
       683     3336.66666666667            -11913051
       684     3336.76441837732            -13105397
       685     3336.86217008798            -14164517
       686     3336.95992179863            -15472099
       687     3337.05767350929            -16496688
       688     3337.15542521994            -17851166
       689      3337.2531769306            -18918389
       690     3337.35092864125            -19800215
       691     3337.44868035191            -20738563
       692     3337.54643206256            -21331526
       693     3337.64418377322            -21737996
       694     3337.74193548387            -22135471
       695     3337.83968719453            -22165942
       696     3337.93743890518            -22536284
       697     3338.03519061584            -22505617
       698     3338.13294232649            -22248518
       699     3338.23069403715            -22644615
       700      3338.3284457478            -22263972
       701     3338.42619745846            -22187075
       702     3338.52394916911            -21898103
       703     3338.62170087977            -21689032
       704     3338.71945259042            -21975570
       705     3338.81720430108            -21870439
       706     3338.91495601173            -21337826
       707     3339.01270772239            -21144811
       708     3339.11045943304            -21221060
       709     3339.20821114369            -21332673
       710     3339.30596285435            -20968248
       711       3339.403714565            -20957366
       712     3339.50146627566            -21007797
       713     3339.59921798631            -20780569
       714     3339.69696969697            -20820309
       715     3339.79472140762            -20661688
       716     3339.89247311828            -20698404
       717     3339.99022482893            -20662561
       718     3340.08797653959            -20702337
       719     3340.18572825024            -20393996
       720      3340.2834799609            -20445794
       721     3340.38123167155            -20416345
       722     3340.47898338221            -20226720
       723     3340.57673509286            -20268049
       724     3340.67448680352            -20268341
       725     3340.77223851417            -20288488
       726     3340.86999022483            -20407970
       727     3340.96774193548            -19790265
       728     3341.06549364614            -19743405
       729     3341.16324535679            -19538083
       730     3341.26099706745            -19167142
       731      3341.3587487781            -19518421
       732     3341.45650048876            -19327320
       733     3341.55425219941            -18819641
       734     3341.65200391007            -18819521
       735     3341.74975562072            -18724625
       736     3341.84750733138            -18741821
       737     3341.94525904203            -18387538
       738     3342.04301075269            -18401053
       739     3342.14076246334            -18337911
       740       3342.238514174            -18441849
       741     3342.33626588465            -18327170
       742     3342.43401759531            -17784776
       743     3342.53176930596            -17568335
       744     3342.62952101662            -17347967
       745     3342.72727272727            -17421246
       746     3342.82502443793            -17161829
       747     3342.92277614858            -17269376
       748     3343.02052785924            -17125063
       749     3343.11827956989            -16806769
       750     3343.21603128055            -16485899
       751      3343.3137829912            -16402914
       752     3343.41153470186            -16443143
       753     3343.50928641251            -16474042
       754     3343.60703812317            -16227275
       755     3343.70478983382            -15952244
       756     3343.80254154448            -16235603
       757     3343.90029325513            -16349676
       758     3343.99804496579            -15830392
       759     3344.09579667644            -15636366
       760      3344.1935483871            -15273306
       761     3344.29130009775            -15341365
       762     3344.38905180841            -15299427
       763     3344.48680351906            -15088449
       764     3344.58455522972            -15199039
       765     3344.68230694037            -15157124
       766     3344.78005865103            -14729003
       767     3344.87781036168            -14702738
       768     3344.97556207234            -14577273
       769     3345.07331378299            -14903913
       770     3345.17106549365            -14670386
       771      3345.2688172043            -14486096
       772     3345.36656891496            -14096977
       773     3345.46432062561            -13852886
       774     3345.56207233627            -14118424
       775     3345.65982404692            -13816613
       776     3345.75757575758            -13539228
       777     3345.85532746823            -13527227
       778     3345.95307917889            -13745215
       779     3346.05083088954            -13525476
       780      3346.1485826002            -13510625
       781     3346.24633431085            -13573364
       782     3346.34408602151            -13358789
       783     3346.44183773216            -13630686
       784     3346.53958944282            -13739413
       785     3346.63734115347            -13408580
       786     3346.73509286412            -13684918
       787     3346.83284457478            -13181391
       788     3346.93059628544            -13299036
       789     3347.02834799609            -13301953
       790     3347.12609970674            -13533517
       791      3347.2238514174            -13390067
       792     3347.32160312805            -13382466
       793     3347.41935483871            -13444429
       794     3347.51710654936            -13198596
       795     3347.61485826002            -13276369
       796     3347.71260997067            -13213484
       797     3347.81036168133            -13185157
       798     3347.90811339198            -13072449
       799     3348.00586510264            -13318450
       800     3348.10361681329            -12957280
       801     3348.20136852395            -12651481
       802      3348.2991202346            -12601745
       803     3348.39687194526            -12642735
       804     3348.49462365591            -12647979
       805     3348.59237536657            -12828188
       806     3348.69012707722            -12680927
       807     3348.78787878788            -12750128
       808     3348.88563049853            -12789369
       809     3348.98338220919            -12815385
       810     3349.08113391984            -12829030
       811      3349.1788856305            -12606488
       812     3349.27663734115            -12417196
       813     3349.37438905181            -12623455
       814     3349.47214076246            -12106878
       815     3349.56989247312            -12104779
       816     3349.66764418377            -12392727
       817     3349.76539589443            -12355998
       818     3349.86314760508            -12173878
       819     3349.96089931574            -12198609
       820     3350.05865102639            -12074942
       821     3350.15640273705            -11713441
       822      3350.2541544477            -12061901
       823     3350.35190615836            -11845298
       824     3350.44965786901            -12101530
       825     3350.54740957967            -12227246
       826     3350.64516129032            -12340987
       827     3350.74291300098            -11993286
       828     3350.84066471163            -11764695
       829     3350.93841642229            -12115501
       830     3351.03616813294            -12058714
       831      3351.1339198436            -12031618
       832     3351.23167155425            -11998509
       833     3351.32942326491            -11801098
       834     3351.42717497556            -11737540
       835     3351.52492668622            -11774250
       836     3351.62267839687            -11889974
       837     3351.72043010753            -12079714
       838     3351.81818181818            -12473614
       839     3351.91593352884            -12081391
       840     3352.01368523949            -11849523
       841     3352.11143695015            -11704889
       842      3352.2091886608            -11835742
       843     3352.30694037146            -11887537
       844     3352.40469208211            -11879143
       845     3352.50244379277            -11900107
       846     3352.60019550342            -11570341
       847     3352.69794721408            -11611488
       848     3352.79569892473            -11729663
       849     3352.89345063539            -11656135
       850     3352.99120234604            -11440464
       851      3353.0889540567            -11683118
       852     3353.18670576735            -11707885
       853     3353.28445747801            -11116411
       854     3353.38220918866            -11276901
       855     3353.47996089932            -11557756
       856     3353.57771260997            -11375513
       857     3353.67546432063            -11715797
       858     3353.77321603128            -11453055
       859     3353.87096774194            -11483236
       860     3353.96871945259            -11097374
       861     3354.06647116325            -11225453
       862      3354.1642228739            -11485016
       863     3354.26197458456            -11260139
       864     3354.35972629521            -11500969
       865     3354.45747800587            -11528521
       866     3354.55522971652            -11336149
       867     3354.65298142717            -11412152
       868     3354.75073313783            -11071216
       869     3354.84848484848            -11185889
       870     3354.94623655914            -11192140
       871     3355.04398826979            -11141941
       872     3355.14173998045            -11156786
       873      3355.2394916911            -11345761
       874     3355.33724340176            -11177668
       875     3355.43499511241            -10940986
       876     3355.53274682307            -10653114
       877     3355.63049853372            -10632318
       878     3355.72825024438            -10809075
       879     3355.82600195503            -10853585
