nm, A
320.000000, 0.390479
319.000000, 0.390251
318.000000, 0.390103
317.000000, 0.389834
316.000000, 0.389524
315.000000, 0.389211
314.000000, 0.389087
313.000000, 0.388863
312.000000, 0.388551
311.000000, 0.388338
310.000000, 0.388296
309.000000, 0.388050
308.000000, 0.387849
307.000000, 0.387691
306.000000, 0.387680
305.000000, 0.387535
304.000000, 0.387358
303.000000, 0.387362
302.000000, 0.387398
301.000000, 0.387312
300.000000, 0.387215
299.000000, 0.387173
298.000000, 0.387251
297.000000, 0.387227
296.000000, 0.387369
295.000000, 0.387277
294.000000, 0.387485
293.000000, 0.387482
292.000000, 0.387667
291.000000, 0.387734
290.000000, 0.387895
289.000000, 0.388022
288.000000, 0.388131
287.000000, 0.388190
286.000000, 0.388389
285.000000, 0.388442
284.000000, 0.388343
283.000000, 0.388444
282.000000, 0.388528
281.000000, 0.388439
280.000000, 0.388489
279.000000, 0.388611
278.000000, 0.388652
277.000000, 0.388761
276.000000, 0.388835
275.000000, 0.388828
274.000000, 0.388939
273.000000, 0.388926
272.000000, 0.389070
271.000000, 0.389235
270.000000, 0.389302
269.000000, 0.389388
268.000000, 0.389425
267.000000, 0.389524
266.000000, 0.389612
265.000000, 0.389677
264.000000, 0.389870
263.000000, 0.389908
262.000000, 0.390127
261.000000, 0.390438
260.000000, 0.390598
259.000000, 0.390832
258.000000, 0.391009
257.000000, 0.391268
256.000000, 0.391518
255.000000, 0.391878
254.000000, 0.392264
253.000000, 0.392796
252.000000, 0.393596
251.000000, 0.394277
250.000000, 0.395178
249.000000, 0.396346
248.000000, 0.397923
247.000000, 0.400002
246.000000, 0.402544
245.000000, 0.405669
244.000000, 0.409647
243.000000, 0.414406
242.000000, 0.420411
241.000000, 0.427777
240.000000, 0.436624
239.000000, 0.447455
238.000000, 0.460368
237.000000, 0.475579
236.000000, 0.493608
235.000000, 0.514510
234.000000, 0.538814
233.000000, 0.566754
232.000000, 0.599001
231.000000, 0.635596
230.000000, 0.676758
