nm, A
320.000000, 0.385704
319.000000, 0.385685
318.000000, 0.385625
317.000000, 0.385417
316.000000, 0.385297
315.000000, 0.385054
314.000000, 0.385041
313.000000, 0.384897
312.000000, 0.384766
311.000000, 0.384683
310.000000, 0.384548
309.000000, 0.384494
308.000000, 0.384494
307.000000, 0.384405
306.000000, 0.384302
305.000000, 0.384428
304.000000, 0.384361
303.000000, 0.384444
302.000000, 0.384407
301.000000, 0.384562
300.000000, 0.384503
299.000000, 0.384611
298.000000, 0.384737
297.000000, 0.384812
296.000000, 0.384922
295.000000, 0.384908
294.000000, 0.385144
293.000000, 0.385178
292.000000, 0.385410
291.000000, 0.385556
290.000000, 0.385784
289.000000, 0.385856
288.000000, 0.386074
287.000000, 0.386120
286.000000, 0.386253
285.000000, 0.386458
284.000000, 0.386460
283.000000, 0.386559
282.000000, 0.386661
281.000000, 0.386726
280.000000, 0.386784
279.000000, 0.386957
278.000000, 0.387089
277.000000, 0.387177
276.000000, 0.387354
275.000000, 0.387512
274.000000, 0.387769
273.000000, 0.387954
272.000000, 0.388191
271.000000, 0.388429
270.000000, 0.388726
269.000000, 0.388958
268.000000, 0.389237
267.000000, 0.389419
266.000000, 0.389738
265.000000, 0.390024
264.000000, 0.390322
263.000000, 0.390570
262.000000, 0.391011
261.000000, 0.391469
260.000000, 0.391831
259.000000, 0.392266
258.000000, 0.392550
257.000000, 0.393085
256.000000, 0.393505
255.000000, 0.394079
254.000000, 0.394765
253.000000, 0.395514
252.000000, 0.396511
251.000000, 0.397456
250.000000, 0.398633
249.000000, 0.400094
248.000000, 0.402064
247.000000, 0.404470
246.000000, 0.407446
245.000000, 0.410996
244.000000, 0.415539
243.000000, 0.420967
242.000000, 0.427722
241.000000, 0.436086
240.000000, 0.446143
239.000000, 0.458496
238.000000, 0.473327
237.000000, 0.490978
236.000000, 0.511908
235.000000, 0.536712
234.000000, 0.565753
233.000000, 0.599919
232.000000, 0.639682
231.000000, 0.685793
230.000000, 0.738654
