nm, A
320.000000, 0.409552
319.000000, 0.409846
318.000000, 0.410275
317.000000, 0.410644
316.000000, 0.411001
315.000000, 0.411356
314.000000, 0.411966
313.000000, 0.412509
312.000000, 0.412982
311.000000, 0.413652
310.000000, 0.414343
309.000000, 0.415095
308.000000, 0.415929
307.000000, 0.416812
306.000000, 0.417681
305.000000, 0.418769
304.000000, 0.419658
303.000000, 0.420729
302.000000, 0.421888
301.000000, 0.423071
300.000000, 0.424263
299.000000, 0.425564
298.000000, 0.426884
297.000000, 0.428308
296.000000, 0.429854
295.000000, 0.431350
294.000000, 0.433051
293.000000, 0.434805
292.000000, 0.436601
291.000000, 0.438270
290.000000, 0.439681
289.000000, 0.441011
288.000000, 0.442500
287.000000, 0.444065
286.000000, 0.445827
285.000000, 0.447488
284.000000, 0.448954
283.000000, 0.450330
282.000000, 0.451563
281.000000, 0.452701
280.000000, 0.453873
279.000000, 0.454980
278.000000, 0.456107
277.000000, 0.457426
276.000000, 0.458747
275.000000, 0.460171
274.000000, 0.461630
273.000000, 0.462981
272.000000, 0.464358
271.000000, 0.465917
270.000000, 0.467547
269.000000, 0.469539
268.000000, 0.471308
267.000000, 0.473394
266.000000, 0.475605
265.000000, 0.477956
264.000000, 0.480506
263.000000, 0.483210
262.000000, 0.486345
261.000000, 0.489812
260.000000, 0.493461
259.000000, 0.497492
258.000000, 0.501821
257.000000, 0.506635
256.000000, 0.511966
255.000000, 0.517764
254.000000, 0.524478
253.000000, 0.532079
252.000000, 0.540911
251.000000, 0.551038
250.000000, 0.563250
249.000000, 0.578011
248.000000, 0.596357
247.000000, 0.619191
246.000000, 0.648034
245.000000, 0.684702
244.000000, 0.731658
243.000000, 0.792187
242.000000, 0.870746
241.000000, 0.973063
240.000000, 1.104815
239.000000, 1.273886
238.000000, 1.489843
237.000000, 1.760555
236.000000, 2.094070
235.000000, 2.497064
234.000000, 2.941218
233.000000, 3.338820
232.000000, 3.538899
231.000000, 3.620817
230.000000, 3.678553
