nm, A
320.000000, 0.386134
319.000000, 0.386075
318.000000, 0.385976
317.000000, 0.385797
316.000000, 0.385597
315.000000, 0.385395
314.000000, 0.385352
313.000000, 0.385198
312.000000, 0.384997
311.000000, 0.384864
310.000000, 0.384729
309.000000, 0.384695
308.000000, 0.384594
307.000000, 0.384545
306.000000, 0.384483
305.000000, 0.384499
304.000000, 0.384481
303.000000, 0.384414
302.000000, 0.384497
301.000000, 0.384502
300.000000, 0.384463
299.000000, 0.384570
298.000000, 0.384616
297.000000, 0.384701
296.000000, 0.384770
295.000000, 0.384756
294.000000, 0.384910
293.000000, 0.384863
292.000000, 0.385054
291.000000, 0.385169
290.000000, 0.385284
289.000000, 0.385354
288.000000, 0.385531
287.000000, 0.385575
286.000000, 0.385801
285.000000, 0.385809
284.000000, 0.385841
283.000000, 0.385918
282.000000, 0.385958
281.000000, 0.385980
280.000000, 0.386111
279.000000, 0.386220
278.000000, 0.386279
277.000000, 0.386366
276.000000, 0.386490
275.000000, 0.386679
274.000000, 0.386893
273.000000, 0.386994
272.000000, 0.387126
271.000000, 0.387385
270.000000, 0.387586
269.000000, 0.387735
268.000000, 0.387918
267.000000, 0.388173
266.000000, 0.388334
265.000000, 0.388577
264.000000, 0.388738
263.000000, 0.388933
262.000000, 0.389309
261.000000, 0.389660
260.000000, 0.389957
259.000000, 0.390275
258.000000, 0.390536
257.000000, 0.390952
256.000000, 0.391275
255.000000, 0.391698
254.000000, 0.392201
253.000000, 0.392923
252.000000, 0.393713
251.000000, 0.394554
250.000000, 0.395551
249.000000, 0.396838
248.000000, 0.398589
247.000000, 0.400726
246.000000, 0.403435
245.000000, 0.406753
244.000000, 0.410808
243.000000, 0.415793
242.000000, 0.421931
241.000000, 0.429498
240.000000, 0.438617
239.000000, 0.449682
238.000000, 0.463002
237.000000, 0.478608
236.000000, 0.497025
235.000000, 0.518612
234.000000, 0.543519
233.000000, 0.572407
232.000000, 0.605761
231.000000, 0.643779
230.000000, 0.686694
