nm, A
320.000000, 0.402335
319.000000, 0.402692
318.000000, 0.402974
317.000000, 0.403373
316.000000, 0.403626
315.000000, 0.403970
314.000000, 0.404516
313.000000, 0.404951
312.000000, 0.405402
311.000000, 0.405845
310.000000, 0.406455
309.000000, 0.407148
308.000000, 0.407868
307.000000, 0.408539
306.000000, 0.409346
305.000000, 0.410153
304.000000, 0.410954
303.000000, 0.411753
302.000000, 0.412624
301.000000, 0.413636
300.000000, 0.414471
299.000000, 0.415334
298.000000, 0.416180
297.000000, 0.417136
296.000000, 0.418077
295.000000, 0.418926
294.000000, 0.419918
293.000000, 0.420796
292.000000, 0.421732
291.000000, 0.422737
290.000000, 0.423686
289.000000, 0.424653
288.000000, 0.425523
287.000000, 0.426415
286.000000, 0.427417
285.000000, 0.428405
284.000000, 0.429397
283.000000, 0.430403
282.000000, 0.431527
281.000000, 0.432581
280.000000, 0.433729
279.000000, 0.434770
278.000000, 0.435969
277.000000, 0.437264
276.000000, 0.438688
275.000000, 0.440193
274.000000, 0.441827
273.000000, 0.443369
272.000000, 0.444989
271.000000, 0.446982
270.000000, 0.448898
269.000000, 0.450927
268.000000, 0.453263
267.000000, 0.455619
266.000000, 0.458134
265.000000, 0.460762
264.000000, 0.463634
263.000000, 0.466720
262.000000, 0.470093
261.000000, 0.473801
260.000000, 0.477738
259.000000, 0.482015
258.000000, 0.486594
257.000000, 0.491851
256.000000, 0.497417
255.000000, 0.503812
254.000000, 0.511144
253.000000, 0.519658
252.000000, 0.529699
251.000000, 0.541597
250.000000, 0.556200
249.000000, 0.574339
248.000000, 0.597579
247.000000, 0.626980
246.000000, 0.664783
245.000000, 0.713812
244.000000, 0.777344
243.000000, 0.860362
242.000000, 0.968799
241.000000, 1.110936
240.000000, 1.294126
239.000000, 1.529094
238.000000, 1.827972
237.000000, 2.198028
236.000000, 2.635199
235.000000, 3.099124
234.000000, 3.433714
233.000000, 3.586605
232.000000, 3.621085
231.000000, 3.658605
230.000000, 3.699742
