nm, A
320.000000, 0.388090
319.000000, 0.388103
318.000000, 0.388165
317.000000, 0.388179
316.000000, 0.388120
315.000000, 0.388019
314.000000, 0.388249
313.000000, 0.388287
312.000000, 0.388278
311.000000, 0.388358
310.000000, 0.388468
309.000000, 0.388587
308.000000, 0.388771
307.000000, 0.389008
306.000000, 0.389160
305.000000, 0.389453
304.000000, 0.389632
303.000000, 0.389903
302.000000, 0.390175
301.000000, 0.390571
300.000000, 0.390782
299.000000, 0.391039
298.000000, 0.391285
297.000000, 0.391695
296.000000, 0.392038
295.000000, 0.392281
294.000000, 0.392620
293.000000, 0.392924
292.000000, 0.393356
291.000000, 0.393764
290.000000, 0.394164
289.000000, 0.394407
288.000000, 0.394925
287.000000, 0.395100
286.000000, 0.395658
285.000000, 0.395859
284.000000, 0.396275
283.000000, 0.396599
282.000000, 0.396979
281.000000, 0.397396
280.000000, 0.397795
279.000000, 0.398226
278.000000, 0.398574
277.000000, 0.399141
276.000000, 0.399737
275.000000, 0.400302
274.000000, 0.400905
273.000000, 0.401512
272.000000, 0.402257
271.000000, 0.403022
270.000000, 0.403788
269.000000, 0.404615
268.000000, 0.405492
267.000000, 0.406356
266.000000, 0.407310
265.000000, 0.408352
264.000000, 0.409388
263.000000, 0.410510
262.000000, 0.411819
261.000000, 0.413199
260.000000, 0.414671
259.000000, 0.416087
258.000000, 0.417657
257.000000, 0.419404
256.000000, 0.421266
255.000000, 0.423299
254.000000, 0.425652
253.000000, 0.428305
252.000000, 0.431317
251.000000, 0.434641
250.000000, 0.438355
249.000000, 0.442934
248.000000, 0.448692
247.000000, 0.455756
246.000000, 0.464449
245.000000, 0.475273
244.000000, 0.488918
243.000000, 0.506195
242.000000, 0.528285
241.000000, 0.556630
240.000000, 0.592654
239.000000, 0.638605
238.000000, 0.697047
237.000000, 0.770666
236.000000, 0.862581
235.000000, 0.977851
234.000000, 1.119960
233.000000, 1.296227
232.000000, 1.513028
231.000000, 1.777532
230.000000, 2.091752
